_id,large_category,middle_category,small_category,image_url,title,old_price,new_price,discount_rate,review_count,isSoldout
6632000af77a808f79913617,fashion,액세서리,양말,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/02b6eaf6accf432e85c58a0d78209f6e.jpg,겨울양말,11900,7900,,502,false
66320013f77a808f79913619,fashion,액세서리,키링/배지,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202108/18f451cf46b56b87c3d3473b9553601f.jpg,소프트키링 - Smile We Love,10800,9700,10%,499,false
66320013f77a808f7991361a,fashion,액세서리,키링/배지,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202206/834e2ce642163fc81296e4ffdec9b339.jpg,빅 소프트 키링 - Smile We Love,13900,11800,,315,false
66320013f77a808f7991361b,fashion,액세서리,키링/배지,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/6e3ec266a726ce1650a1e0709b1061a7.jpg,토이 키링,26800,24000,10%,194,false
66320013f77a808f7991361c,fashion,액세서리,키링/배지,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202404/84a9beb4c779e6d8e25a41643a773008.jpg,메탈 참 키링,14400,12900,10%,,false
66320013f77a808f7991361d,fashion,액세서리,키링/배지,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202404/21fd5e173fcd9284a558dedb6a3636f0.jpg,메탈 배지,13800,12400,10%,,false
6632001bf77a808f7991361f,fashion,액세서리,기타용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/2b7f305eb8bf5b2fb73d94dd73656783.jpg,다용도 안경닦이,4500,4500,,224,false
66320024f77a808f79913621,outdoor,차량용품,주차번호판,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/d6c83a301663ee4b54c62dee416eb741.jpg,주차번호판 - Teddy Bear,13800,13100,5%,259,false
66320024f77a808f79913622,outdoor,차량용품,주차번호판,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202109/53dc1d9715a0c1f7fec629c40af321f8.jpg,주차번호판 - Smile We Love,13800,13100,5%,319,false
66320024f77a808f79913623,outdoor,차량용품,주차번호판,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202311/6f250d660358301e495992e6da485d8d.jpg,[벨리곰X위글위글] 주차번호판,13800,13100,5%,52,false
66320024f77a808f79913624,outdoor,차량용품,주차번호판,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202308/e95eeec837cbc93919602b2ccdcc9194.jpg,주차번호판 - On My Way,13800,9900,,74,false
66320024f77a808f79913625,outdoor,차량용품,주차번호판,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/9c497472f06fdf0a98020ac03ec57be2.jpg,주차번호판 - Run To You,13800,13100,5%,73,false
66320024f77a808f79913626,outdoor,차량용품,주차번호판,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/17eb5601771a8bf0818a35dba6afda3f.jpg,주차번호판 - Popping Land,13800,13100,5%,49,false
66320024f77a808f79913627,outdoor,차량용품,주차번호판,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202308/543d04df8e53be1ef62fe9276a07bf26.jpg,주차번호판 - Coming Soon,13800,9900,,23,false
66320024f77a808f79913628,outdoor,차량용품,주차번호판,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202208/85082893e687f81e85ba48b3fee7c806.jpg,주차번호판 - Cat,13800,13100,5%,201,false
6632002df77a808f7991362a,outdoor,차량용품,방향제,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/df53a20aac4995bd7941ba22c318b0c5.jpg,차량용 방향제,32700,29800,9%,664,false
6632002df77a808f7991362b,outdoor,차량용품,방향제,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202311/bd4b259b243958b5d54c9614a46b4065.jpg,차량용 방향제 리필,6000,6000,,131,false
6632002df77a808f7991362c,outdoor,차량용품,방향제,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202311/0f6aff739e53049b3994092c31ee9f42.jpg,[벨리곰X위글위글] 차량용 방향제,32700,29800,9%,137,false
66320035f77a808f7991362e,outdoor,피크닉,피크닉용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202306/9eb66b79fb24fd53959178da1a88a4e8.png,피크닉매트 - Smile We Love Checkerboard,29800,26800,10%,226,false
66320035f77a808f7991362f,outdoor,피크닉,피크닉용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202306/09997554494f5aea3be16836653356fe.png,피크닉매트 - Popping Land,29800,26800,10%,98,false
66320035f77a808f79913630,outdoor,피크닉,피크닉용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/93e65d74bd18fad187a368feb90fefdf.png,피크닉매트 - Surfing Bear,29800,26800,10%,33,false
66320035f77a808f79913631,outdoor,피크닉,피크닉용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/c1e883716d812a63bd661c16b26c2f74.jpg,와인 마개 - Smile We Love,11900,10300,,366,false
66320035f77a808f79913632,outdoor,피크닉,피크닉용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202208/50b090c79e6dcace5594199232b01c13.jpg,피크닉매트 - Smile we Love,29800,26800,10%,209,false
6632003ef77a808f79913634,outdoor,피크닉,보냉백,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/549c110d39b66dea09cad87930a0fbdf.jpg,보냉백(S/L) - Smile We Love,15800,12900,,"2,231",false
6632003ef77a808f79913635,outdoor,피크닉,보냉백,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/e75126d1c617febf410a799894653d28.png,보냉백(S/L) - Smile Garden,15800,13900,,631,false
6632003ef77a808f79913636,outdoor,피크닉,보냉백,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/41ea8d462f37a2ef26fb6bdecc08a181.jpg,보냉백(S/L) - Wiggle Bear,15800,12900,,522,false
6632003ef77a808f79913637,outdoor,피크닉,보냉백,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/728f767cf18c9cdeef8fa43eed4979b5.jpg,투웨이 보냉백(M/L) - Cherry,25800,21900,,291,false
6632003ef77a808f79913638,outdoor,피크닉,보냉백,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/50f0937073fce1e10a760a39736adfb3.jpg,투웨이 보냉백(M/L)  - Smile Diamond,25800,21900,,351,false
6632003ef77a808f79913639,outdoor,피크닉,보냉백,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/f9dbcdcfe45b2ec4d11ea8f94fab0d9c.jpg,투웨이 보냉백(M) - Camping Bear,25800,21900,,99,false
6632003ef77a808f7991363a,outdoor,피크닉,보냉백,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/b77a03392796d132d294aad8cb8b8a29.jpg,투웨이 보냉백(L) - Camping Bear,29800,26800,10%,119,false
66320047f77a808f7991363c,outdoor,캠핑/여행,침구류,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/283e5fb95275093ae1313e155a966543.jpg,쿠션담요 - Smile We Love,42800,31800,,501,false
66320047f77a808f7991363d,outdoor,캠핑/여행,침구류,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/a4054f09ea23d52b4043e547766f8202.jpg,쿠션담요 - Teddy Bear,42800,31800,,461,false
